medians,bests_scores
1.0,1001.0
1.0,1005.0
1.0,2000.0
1.0,1005.0
1.0,1009.0
1.0,2009.0
1.0,1005.0
1.0,1010.0
2.0,1011.0
1.0,1005.0
1.0,1010.0
1.0,1008.0
1.0,1010.0
1.0,1010.0
1.0,1008.0
1.0,2004.0
3.0,1009.0
2.0,1011.0
2.0,1009.0
2.0,1010.0
2.0,1008.0
5.0,2005.0
2.0,1011.0
2.0,1010.0
1.0,2003.0
1.0,2001.0
2.0,1009.0
2.0,2000.0
3.0,2003.0
2.0,2004.0
2.0,1005.0
3.0,1007.0
2.0,2001.0
3.5,1008.0
3.0,1010.0
3.0,1010.0
3.0,1009.0
5.0,2006.0
4.0,1011.0
5.0,2004.0
4.0,1010.0
3.0,2007.0
4.0,2006.0
3.0,2003.0
3.5,3003.0
1.5,2008.0
3.0,2005.0
3.0,2005.0
5.0,4001.0
4.0,2003.0
3.5,3000.0
4.0,2010.0
5.0,3004.0
5.0,2008.0
4.0,3005.0
4.0,2003.0
4.0,4000.0
4.0,3003.0
3.0,4000.0
7.0,3005.0
5.0,2009.0
9.0,4007.0
4.5,2009.0
5.0,5004.0
5.0,4003.0
5.5,3003.0
5.0,4005.0
5.0,4004.0
6.0,2008.0
5.0,3007.0
6.0,3011.0
6.0,6012.0
6.0,4002.0
7.0,4008.0
1002.0,6008.0
11.5,5000.0
8.0,5009.0
6.0,4005.0
5.0,4010.0
5.0,4005.0
6.0,3005.0
5.0,4006.0
4.5,4004.0
6.0,6003.0
6.5,4002.0
6.5,4005.0
1002.0,5006.0
6.0,5006.0
1003.0,10008.0
1001.5,9009.0
9.0,6003.0
5.0,5007.0
5.0,7006.0
1005.5,8007.0
1004.0,6004.0
1005.0,8002.0
1005.0,7006.0
9.0,7004.0
7.0,14009.0
6.0,7008.0
4.5,4003.0
507.0,4012.0
1005.5,7004.0
1004.0,6003.0
1003.0,6004.0
1005.0,9011.0
1002.0,6010.0
1003.0,10006.0
1004.5,8010.0
1003.0,5003.0
1004.0,10005.0
1003.0,7003.0
6.0,5010.0
